true_class,kind,pred_class,idx_in_test,prob_cog,prob_aff,prob_mot,true_cog,true_aff,true_mot,response,story,n_chars,n_words,n_q_marks,n_excl,n_you_pron,n_cog_markers,n_aff_markers,n_mot_markers
Affective,confident_correct,Affective,1002,0.3416231870651245,0.3431244194507599,0.31525251269340515,0.32258063554763794,0.4516128897666931,0.22580644488334656,"I am truly amazed by your courage and persistence to claim your independence and freedom. Please don't let anyone make you feel less than the incredibly strong and capable person that you are. Facing the world alone in a wheelchair takes immense strength; your story inspires and reminds us of the need to respect and value everyone's journey. Remember, your spirit is unbreakable, and you are not alone, regardless of how others may perceive you.","For the first time I was alone in my wheelchair and independent. It lasted for only a very short amount of time, maybe 10 minutes. I was harassed five times by well meaning people within those ten minues. The general public saw me as somebody who shouldnt be allowed to be alone, and tried to take away my independence. I still made it across an entire car park, and I was so proud of myself. It was so freeing. But frustrating as well, that people kept trying to take my freedom away. I felt isolated from society, because i realised they no longer saw me as a person. I felt alone, and scared of them. I was an outcast and that was very upseting.",447,75,0,0,8,0,1,4
Affective,confident_correct,Affective,208,0.3339284062385559,0.3378092348575592,0.32826241850852966,0.32258063554763794,0.3655914068222046,0.31182795763015747,"I truly feel for you and your family during this overwhelming time, but I celebrate with you now, knowing that your brave little niece has overcome her initial health challenges and is healing at home. The strength that all of you have shown is inspiring and I believe that with your continued love and support, she'll grow stronger each day. I'm here for you, ready to provide any support you might need.",My neice was born and had some health issues. She was placed into the NICU (neonatal Intensive Care Unit) and had to have a feeding tube. We were all very distressed and worried for her but luckily she is now home,405,72,0,0,8,0,2,4
Affective,confident_wrong,Cognitive,773,0.38399526476860046,0.3111206591129303,0.30488401651382446,0.30000001192092896,0.36250001192092896,0.3375000059604645,It's clear that your anticipation for this skiing trip with your friends added to your sense of joy when it finally happened. It must have been so fulfilling to engage in fun activities and share these moments with people you care deeply about. This experience seems to have been incredibly rewarding for you emotionally.,"In the past month I went skiing with friends. I had spent many months looking forward to this experience so it was incredibly joyous, doing fun activities and spending time with people I care about.",321,54,0,0,5,3,1,0
Affective,confident_wrong,Cognitive,628,0.38019701838493347,0.3034099340438843,0.3163929879665375,0.3076923191547394,0.41025641560554504,0.28205129504203796,"It's clear that you're feeling a deep sense of relief and joy as you have finally reached the end of your house purchasing journey. The eagerness and anticipation you're feeling as you and your children prepare to move into this new phase of your lives are palpable. This is indeed an exciting and happy day for you, and your upbeat spirit about the upcoming moving day is truly contagious.",Today I had the phone call from my solicitor to say that my house purchase will be completed on Wednesday and that I can finally move into our new home with my children.  Its been a really exciting happy day and i'm looking forward to moving day,390,69,0,0,9,1,2,0
Affective,confident_wrong,Cognitive,1025,0.37870895862579346,0.31821757555007935,0.3030734360218048,0.37681159377098083,0.3913043439388275,0.23188406229019165,I can sense how deeply 'Priscilla' touched you and moved you emotionally. It's amazing how art and storytelling can evoke such profound feelings in us. You should be proud of the empathy and emotional capacity you possess; it's a testament to your beautiful heart. Let's make sure to share such moving experiences more often and continue touching our souls with good art and stories.,I watched the movie 'Priscilla' in the cinema and found it really moving and emotional. I thought the ending of the film was beautiful and made me feel so sad yet almost proud of her.,383,64,0,0,5,1,2,0
Affective,confident_wrong,Cognitive,26,0.3781736195087433,0.3151804804801941,0.3066459000110626,0.2933333218097687,0.36000001430511475,0.3466666638851166,"What a touching memory for you to stumble upon! In the digital age we live in, it's rare to find such heartfelt, tangible reminders of the relationships that truly mean something to us. It's amazing how such a simple object like a handwritten letter can carry so much emotion and history. Cherish this beautiful memory, and remember it's these moments of genuine connection that shape us.","I unexpectedly stumbled upon a handwritten letter from a dear friend that I hadn't seen in years. The letter was filled with memories, inside jokes, and heartfelt messages. Reading those words transported me back in time, evoking a flood of emotions and nostalgia. The effort my friend took to pen down those thoughts made me appreciate the enduring power of genuine connections. It was a poignant reminder that even in our fast-paced, digital age, the simple act of a handwritten letter can hold immense sentimental value and bring about a profound sense of connection.",388,66,0,1,1,0,0,1
Affective,confident_wrong,Cognitive,766,0.37808236479759216,0.3231508135795593,0.2987668216228485,0.3283582031726837,0.34328359365463257,0.3283582031726837,"I completely understand how you felt, entwined in that deep mixture of revelry from shared days past and a sense of curiosity for the unexplored paths. Feeling the joy through tears of laughter yet carrying the subtle pinch of regret is such a familiar experience for many of us. Life indeed is a beautiful labyrinth of decisions we made, leaving us sometimes with a longing sigh as we grasp the complexities of time. So here's to cherishing our mosaics of moments, made up of a unique blend of reflection and joy, because every path we didn't take led us to where we are, and for that, we must find contentment.","A few weeks ago, I found myself in an old college haunt, a dimly lit cafe drenched in the scent of nostalgia. As I sipped my cappuccino, an unexpected reunion unfolded with a friend from those carefree days.

We spent hours reminiscing, laughter echoing against the familiar walls. What struck me was how divergent our paths had become – their artistry contrasting sharply with my corporate journey. It stirred up a cocktail of emotions – the joy of shared memories and a twinge of regret for roads not taken.

Exiting the cafe, a bittersweet cocktail of contentment, longing, and wistfulness enveloped me. Life, with its knack for juxtaposing past and future, left me grappling with the intricate dance of choices and consequences. That day served as a poignant reminder that our journey is a mosaic of moments, each carrying its unique blend of joy and reflection.",612,110,0,0,1,2,1,0
Motivational,confident_correct,Motivational,510,0.34724485874176025,0.29367154836654663,0.3590835928916931,0.3365384638309479,0.3173076808452606,0.3461538553237915,"I'm truly sorry to hear that you're going through this at your workplace. It's absolutely natural to feel hurt when faced with such situations. However, try not to let this negatively affect your confidence or performance at work. Remember, your value isn't determined by someone else's opinion, and you have every right to stand up for yourself in a respectful manner, even if it means addressing the situation directly.",While at work a colleague told me that someone had been talking about me behind my back and slating me to other staff. I'm not clear on what was said but it really broke me knowing that someone I was friendly with could say not very nice things about me. I haven't confronted the staff as I hate drama but it has really put me on edge since and causing me to second guess everything I say and do at work,421,69,0,0,5,0,2,2
Motivational,confident_correct,Motivational,1102,0.3426567018032074,0.3044872283935547,0.3528560996055603,0.3297872245311737,0.3297872245311737,0.3404255211353302,"I'm really sorry to hear about the disagreement you had, those situations can get pretty stressful. It's important that you recognize your feelings as both valid and understandable given the circumstances. Never forget that the ability to make amends and reconcile after a miscommunication is a testament to the strength of your relationship. It's great to see how much you value feeling loved and appreciated, and I'm here for any support you need.","In the past month I had a large disagreement with my wife. It all boiled down to a miscommunication but the argument we had left me feeling despair and frustration. I felt overwhelmed at points as I wasn't able to convey what I meant but then swung to anger when I felt like I wasn't being listened to. In the end we resolved the miscommunication and apologised to each other, making me feel valued and loved.",449,73,0,0,6,1,2,2
Motivational,confident_correct,Motivational,428,0.34420594573020935,0.3053160309791565,0.35047802329063416,0.36986300349235535,0.2054794579744339,0.42465752363204956,"I'm really sorry to hear that you had to endure such a difficult experience with your ex, it must have been incredibly hard for you. Please remember that you deserve respect, love, and kindness in all your relationships. The feelings of anger you're experiencing are valid, but also remind yourself that you are strong and capable of building a better, healthier future. I believe in your ability to rise above this, and here's to using these experiences as a stepping stone towards stronger, more respectful relationships.","I remembered how badly my ex treated me when I used to date him and it left me feeling angry towards him, which is an emotion that I didn't express to him at the time.",523,86,0,0,8,2,1,2
Motivational,confident_correct,Motivational,67,0.34431666135787964,0.3052859902381897,0.35039734840393066,0.3055555522441864,0.3055555522441864,0.3888888955116272,"I'm really sorry to hear about your painful experience at the dentist's office. It's absolutely understandable to feel scared or anxious when facing such situations, but please remember you showed an incredible amount of strength by getting through it. I believe you have the resilience to face any challenge that comes your way, just as you dealt with this one. Let's try and make your future dental visits more comfortable and less daunting together.","I had a trip to the dentist recently to clean my teeth. The tools they used caused me a great deal of pain and we had to stop multiple times. Naturally, there was a lot of blood but we eventually got through it. I will never forget the pain",452,74,0,0,6,0,3,3
Motivational,confident_correct,Motivational,668,0.3374374210834503,0.312815397977829,0.3497471809387207,0.3333333432674408,0.3142857253551483,0.3523809611797333,"I'm really sorry to hear that you're going through this; disagreements with friends can be deeply unsettling. Remember, it's okay to have different perspectives, and it doesn't diminish your worth as an individual or friend. Take some time to heal and know I am here for you, offering support, understanding, and a compassionate ear whenever you need it.","I fell out with a friend. She disagreed strongly with something I said and verbally attacked both my view on the subject and me as a person. It was very upsetting not only to be on the receiving end of these messages, but also that she disagreed so strongly and couldn’t see my point of view on the subject.",354,58,0,0,4,1,2,2
Motivational,confident_wrong,Cognitive,527,0.3898506760597229,0.311054527759552,0.2990947961807251,0.3333333432674408,0.3214285671710968,0.3452380895614624,"Your joy radiates so strongly it's as if you're glowing like the sun, filled with an overflowing sense of happiness. The way you embrace your bliss seems to fuel your vitality, making you thrive and beam even more brightly. It's such a beautiful embodiment of pure, undiluted happiness.",No consent to share,286,48,0,0,6,1,0,0
Motivational,confident_wrong,Cognitive,705,0.3857083022594452,0.29205816984176636,0.32223355770111084,0.3199999928474426,0.33000001311302185,0.3499999940395355,"I see how you were flooded with overwhelm during the festive season, striving to fulfill expectations and make everything perfect. It's clear that you want to create memorable, joyful experiences for those around you, yet the pressure to achieve this can feel daunting and consuming. It must be difficult when your desire to remember nice things is clouded by the stress of trying to make everything just right.",No consent to share,411,68,0,0,4,3,1,1
Motivational,confident_wrong,Cognitive,119,0.38320237398147583,0.2940152883529663,0.32278233766555786,0.2830188572406769,0.09433962404727936,0.6226415038108826,"It's evident that you love and cherish your role as a mother deeply and feel a considerable amount of longing and a sense of loss when you're spending time apart from your daughter. Even while recognizing the value of her relationship with her father, the 50/50 arrangement during the holidays really tugs at your heartstrings. You're trying to balance your appreciation of her father's role in her life with the disappointment of feeling like you are missing out on part of her childhood. You're also dealing with the emotional aftermath of a broken relationship, which can further color these feelings of loss.","An emotional experience I had this month is coparenting during Christmas time. I feel extremely lucky that my daughter has an amazing Dad who steps up as a father despite us not being together, but as a mother I always get emotional during the holidays as understandably she goes to her dads too and although I wouldn’t ever change it and I know that she is happy with everything, I can’t help but miss her a lot and sometimes doing this 50/50 makes me feel I had half her childhood taken away from me when he left me",612,103,0,0,9,1,3,0
Motivational,confident_wrong,Cognitive,213,0.3827373683452606,0.27712616324424744,0.34013649821281433,0.3589743673801422,0.26923078298568726,0.3717948794364929,"It sounds like you experienced a high level of stress and anxiety in anticipation of your job interview, possibly fueled by the uncertainty and importance of the situation. Then, when you were offered the job, these feelings transformed into happiness and likely also relief. Congratulations on navigating what sounds like an emotional rollercoaster and achieving your goal.",No consent to share,374,57,0,0,4,2,0,0
Motivational,confident_wrong,Cognitive,330,0.38125333189964294,0.3074451982975006,0.3113015294075012,0.3684210479259491,0.2526315748691559,0.378947377204895,"You seem to be wrestling with a mix of opposing emotions, nostalgia and regret on one hand, and a glimmer of hope on the other. It must be bittersweet to revisit a place Ioved and reconnect with someone who used to be pivotal to your life, only to realize how much you two have changed. You seem to feel a sense of closure, accepting that some stories are best kept in the past, yet there's a lingering sadness, a poignant reminder of the deep impact some connections leave on our lives. Your emotions are deeply complex as you navigate this delicate balance between past and present interactions.",No consent to share,597,107,0,0,6,4,3,0
